Date,Open,High,Low,Close,Volume
03/08/2023,"33.74","33.87","32.60","33.00","69,494"
03/07/2023,"33.22","33.85","33.11","33.77","89,948"
03/06/2023,"33.98","34.03","33.07","33.35","104,321"
03/03/2023,"34.00","34.14","33.63","33.98","60,168"
03/02/2023,"33.72","34.13","33.47","33.88","91,746"
03/01/2023,"33.92","34.51","32.91","33.96","124,000"
02/28/2023,"33.98","34.34","33.74","33.92","114,674"
02/27/2023,"34.40","34.76","33.80","34.02","101,272"
02/24/2023,"35.33","35.33","33.44","34.02","166,891"
02/23/2023,"33.01","35.99","32.80","35.46","258,799"
02/22/2023,"32.94","33.23","32.03","33.01","85,608"
02/21/2023,"33.06","33.71","32.51","32.69","131,290"
02/17/2023,"33.98","34.23","33.39","33.48","90,566"
02/16/2023,"33.85","34.18","33.46","33.85","92,206"
02/15/2023,"32.77","34.32","32.77","34.29","120,927"
02/14/2023,"32.38","32.98","32.31","32.73","77,979"
02/13/2023,"31.66","32.53","31.55","32.50","82,823"
02/10/2023,"30.76","31.71","30.62","31.62","74,754"
02/09/2023,"31.68","31.81","30.65","30.68","73,831"
02/08/2023,"32.13","32.13","31.27","31.40","67,818"
02/07/2023,"32.39","32.39","31.71","32.20","69,844"
02/06/2023,"32.67","32.98","32.17","32.49","124,025"
02/03/2023,"32.34","33.11","32.10","32.66","106,431"
02/02/2023,"32.78","33.09","32.37","32.70","63,643"
02/01/2023,"32.49","32.87","31.85","32.41","76,341"
01/31/2023,"31.22","32.46","31.22","32.42","89,283"
01/30/2023,"31.14","31.35","30.68","31.10","63,426"
01/27/2023,"31.41","31.67","31.19","31.29","39,754"
01/26/2023,"31.00","31.53","30.70","31.49","48,032"
01/25/2023,"30.70","30.85","30.34","30.85","47,721"
01/24/2023,"31.73","31.73","30.71","30.85","98,668"
01/23/2023,"30.72","31.23","30.37","30.65","68,057"
01/20/2023,"30.61","30.77","30.11","30.57","63,509"
01/19/2023,"29.76","30.48","29.51","30.37","52,384"
01/18/2023,"30.76","30.90","30.06","30.11","53,969"
01/17/2023,"30.33","31.24","30.33","30.56","77,564"
01/13/2023,"30.08","30.44","29.80","30.27","74,651"
01/12/2023,"30.72","30.72","30.06","30.21","68,553"
01/11/2023,"30.33","30.75","30.06","30.36","58,068"
01/10/2023,"29.00","30.29","29.00","30.23","62,807"
01/09/2023,"30.09","30.32","29.25","29.27","82,537"
01/06/2023,"29.26","30.30","29.08","30.03","67,423"
01/05/2023,"29.07","29.15","28.35","28.94","139,026"
01/04/2023,"28.72","29.33","28.56","29.13","82,728"
01/03/2023,"27.60","28.62","27.60","28.56","161,646"
12/30/2022,"27.54","27.89","27.35","27.54","85,924"
12/29/2022,"27.18","27.70","27.01","27.63","75,660"
12/28/2022,"27.19","27.72","27.10","27.20","135,788"
12/27/2022,"27.51","27.51","26.85","27.14","52,903"
12/23/2022,"27.00","27.71","27.00","27.47","87,747"
12/22/2022,"26.95","27.30","26.43","27.30","89,399"
12/21/2022,"26.95","27.68","26.95","27.17","134,114"
12/20/2022,"26.49","27.29","26.15","26.96","176,691"
12/19/2022,"27.51","27.51","26.48","26.65","157,927"
12/16/2022,"25.78","27.84","25.76","27.61","340,750"
12/15/2022,"25.64","26.05","25.05","25.82","153,588"
12/14/2022,"26.29","26.90","25.63","25.87","184,808"
12/13/2022,"25.11","26.79","25.04","26.35","275,359"
12/12/2022,"24.48","24.48","24.03","24.21","77,859"
12/09/2022,"24.40","25.24","24.18","24.52","67,913"
12/08/2022,"25.04","25.27","24.17","24.44","88,412"
12/07/2022,"24.46","25.19","24.44","25.04","137,643"
12/06/2022,"24.51","24.56","24.15","24.52","102,122"
12/05/2022,"25.01","25.14","24.28","24.52","120,310"
12/02/2022,"24.83","25.74","24.26","25.01","143,878"
12/01/2022,"25.14","25.20","23.75","24.79","169,007"
11/30/2022,"23.70","25.20","22.86","25.15","145,120"
11/29/2022,"24.02","24.17","23.60","23.69","73,991"
11/28/2022,"24.20","24.21","23.65","23.94","84,525"
11/25/2022,"24.02","24.64","23.91","24.21","51,102"
11/23/2022,"24.03","24.36","23.82","24.14","48,886"
11/22/2022,"23.98","24.31","23.66","23.95","54,895"
11/21/2022,"24.15","24.21","23.41","23.88","85,460"
11/18/2022,"25.21","25.21","23.91","24.07","79,366"
11/17/2022,"24.54","25.15","24.50","24.79","53,911"
11/16/2022,"25.25","25.25","24.54","24.74","109,624"
11/15/2022,"25.27","25.59","24.88","25.29","58,841"
11/14/2022,"25.35","25.65","24.78","24.83","63,657"
11/11/2022,"26.01","26.01","25.07","25.40","113,860"
11/10/2022,"25.51","26.31","25.30","25.96","107,190"
11/09/2022,"25.79","25.82","24.40","24.43","124,713"
11/08/2022,"24.86","26.60","24.86","26.14","218,908"
11/07/2022,"24.01","24.86","23.61","24.81","136,856"
11/04/2022,"23.67","24.05","22.76","24.00","182,634"
11/03/2022,"24.06","24.22","23.31","23.48","153,435"
11/02/2022,"24.06","25.12","23.77","24.13","295,958"
11/01/2022,"24.72","24.72","23.40","23.88","169,702"
10/31/2022,"24.56","24.77","23.59","24.41","177,193"
10/28/2022,"23.58","24.52","22.71","24.30","282,544"
10/27/2022,"28.30","28.37","23.35","23.40","514,221"
10/26/2022,"31.66","32.67","31.56","32.07","143,249"
10/25/2022,"30.55","31.74","30.45","31.47","61,938"
10/24/2022,"31.00","31.13","30.40","30.76","89,276"
10/21/2022,"30.74","31.03","29.97","30.69","102,991"
10/20/2022,"31.57","31.83","30.68","30.76","96,969"
10/19/2022,"32.17","32.66","31.25","31.47","86,514"
10/18/2022,"32.17","32.92","31.98","32.50","144,585"
10/17/2022,"31.46","32.00","31.46","31.69","110,720"
10/14/2022,"31.70","31.82","30.88","30.94","108,614"
10/13/2022,"31.22","32.07","31.00","31.49","161,199"
10/12/2022,"32.42","32.72","31.74","31.79","112,953"
10/11/2022,"32.87","33.23","31.92","32.39","100,911"
10/10/2022,"32.06","33.20","32.06","32.78","63,788"
10/07/2022,"33.00","33.00","31.65","32.23","95,919"
10/06/2022,"33.48","33.79","33.15","33.31","92,490"
10/05/2022,"33.85","34.32","33.48","33.59","104,551"
10/04/2022,"33.74","34.63","33.74","34.16","242,913"
10/03/2022,"32.62","33.91","32.00","33.57","107,336"
09/30/2022,"32.08","33.24","32.04","32.16","124,326"
09/29/2022,"32.41","32.41","31.36","32.12","89,576"
09/28/2022,"31.87","33.15","31.68","32.84","122,578"
09/27/2022,"31.42","32.27","31.01","31.58","154,044"
09/26/2022,"30.77","31.76","30.77","31.21","133,773"
09/23/2022,"31.29","31.29","30.45","30.99","112,459"
09/22/2022,"32.57","32.57","31.38","31.77","118,509"
09/21/2022,"33.08","33.99","32.53","32.65","93,352"
09/20/2022,"33.42","33.79","32.50","33.07","116,816"
09/19/2022,"33.78","34.32","33.40","33.78","65,039"
09/16/2022,"34.12","34.16","32.79","34.09","211,898"
09/15/2022,"34.33","34.94","34.19","34.41","81,777"
09/14/2022,"35.01","35.01","34.09","34.56","98,565"
09/13/2022,"35.68","35.95","34.80","35.02","80,315"
09/12/2022,"35.64","36.59","35.32","36.28","103,192"
09/09/2022,"35.31","35.63","34.78","35.45","54,560"
09/08/2022,"35.40","35.40","34.64","34.90","63,537"
09/07/2022,"35.35","35.67","34.81","35.61","63,658"
09/06/2022,"35.95","35.95","34.84","35.27","74,491"
09/02/2022,"36.21","36.32","35.41","35.68","70,692"
09/01/2022,"35.20","36.18","35.07","35.66","92,505"
08/31/2022,"36.65","36.87","35.04","35.41","204,807"
08/30/2022,"37.13","37.13","36.38","36.43","113,552"
08/29/2022,"37.10","37.30","36.66","37.01","64,626"
08/26/2022,"38.03","38.36","37.43","37.52","87,895"
08/25/2022,"38.91","38.91","38.11","38.38","46,951"
08/24/2022,"38.51","39.10","38.13","38.56","70,144"
08/23/2022,"38.22","39.15","38.22","38.77","71,610"
08/22/2022,"39.64","39.66","37.93","38.27","105,002"
08/19/2022,"40.15","40.68","39.69","40.18","118,481"
08/18/2022,"40.37","40.84","40.05","40.41","69,637"
08/17/2022,"40.40","40.91","40.03","40.63","127,201"
08/16/2022,"40.58","41.39","40.41","40.63","124,722"
08/15/2022,"40.50","41.51","40.20","41.03","175,105"
08/12/2022,"38.40","40.06","38.31","39.85","86,967"
08/11/2022,"38.72","39.13","37.86","38.04","85,721"
08/10/2022,"37.01","38.93","36.96","38.52","108,353"
08/09/2022,"36.20","36.41","35.64","36.38","72,583"
08/08/2022,"37.13","37.65","35.74","35.82","164,875"
08/05/2022,"34.54","36.81","34.32","36.68","184,548"
08/04/2022,"36.16","36.37","34.22","34.24","143,977"
08/03/2022,"38.65","38.70","35.81","36.00","189,742"
08/02/2022,"37.84","40.38","37.50","38.66","233,698"
08/01/2022,"35.94","37.96","35.54","37.70","224,562"
07/29/2022,"36.78","36.84","34.70","36.28","250,138"
07/28/2022,"39.01","39.69","35.24","36.84","358,544"
07/27/2022,"44.06","44.52","43.22","44.05","112,927"
07/26/2022,"42.91","43.67","42.81","43.67","94,107"
07/25/2022,"42.53","43.17","42.15","42.91","205,742"
07/22/2022,"42.58","42.89","41.99","42.54","50,176"
07/21/2022,"41.17","42.52","40.89","42.52","60,550"
07/20/2022,"40.98","41.49","40.67","41.25","64,857"
07/19/2022,"40.13","41.21","40.13","41.11","73,122"
07/18/2022,"40.85","41.01","39.44","39.60","47,827"
07/15/2022,"39.98","40.87","39.68","40.39","65,794"
07/14/2022,"38.55","39.69","38.45","39.32","60,351"
07/13/2022,"39.00","39.34","38.68","39.08","70,223"
07/12/2022,"39.25","39.76","39.09","39.17","66,147"
07/11/2022,"39.79","40.10","39.25","39.37","47,080"
07/08/2022,"39.90","40.18","39.58","39.98","49,999"
07/07/2022,"39.74","40.35","39.74","39.94","56,287"
07/06/2022,"40.08","40.22","39.20","39.54","72,082"
07/05/2022,"39.76","40.01","38.95","39.93","76,570"
07/01/2022,"39.42","40.31","39.34","40.23","72,500"
06/30/2022,"38.52","39.65","37.83","39.65","155,016"
06/29/2022,"39.43","39.43","38.72","39.01","117,069"
06/28/2022,"40.07","40.63","39.32","39.34","146,112"
06/27/2022,"39.61","39.98","38.63","39.81","127,241"
06/24/2022,"37.64","39.40","37.64","39.40","602,828"
06/23/2022,"36.91","37.57","36.57","37.56","136,892"
06/22/2022,"37.01","37.62","36.50","36.88","163,082"
06/21/2022,"36.35","37.76","36.14","37.74","120,387"
06/17/2022,"36.10","36.35","35.46","35.64","233,644"
06/16/2022,"37.84","37.84","35.69","35.98","133,384"
06/15/2022,"38.00","38.82","37.92","38.38","186,444"
06/14/2022,"37.30","38.00","37.15","37.91","123,863"
06/13/2022,"38.87","38.87","37.09","37.34","180,458"
06/10/2022,"40.26","40.26","39.11","39.57","155,555"
06/09/2022,"40.66","41.33","40.11","40.92","139,318"
06/08/2022,"41.71","41.88","40.93","41.10","90,929"
06/07/2022,"40.99","41.94","40.99","41.89","70,060"
06/06/2022,"40.93","41.56","40.22","41.37","87,999"
06/03/2022,"41.31","41.33","40.44","40.64","71,402"
06/02/2022,"40.94","41.75","40.90","41.60","76,562"
06/01/2022,"40.70","41.22","40.00","40.87","84,538"
05/31/2022,"40.22","40.77","39.53","40.37","216,078"
05/27/2022,"40.11","40.76","40.05","40.42","93,773"
05/26/2022,"39.57","40.57","39.42","40.05","75,193"
05/25/2022,"38.42","39.74","38.42","39.16","114,906"
05/24/2022,"39.07","39.12","38.00","38.80","89,771"
05/23/2022,"38.74","39.33","38.12","38.71","102,963"
05/20/2022,"38.71","38.84","37.33","38.33","97,774"
05/19/2022,"38.36","39.16","37.78","38.50","117,927"
05/18/2022,"40.14","40.23","38.51","38.68","91,291"
05/17/2022,"39.97","40.83","39.84","40.67","93,392"
05/16/2022,"39.38","40.06","39.18","39.52","207,428"
05/13/2022,"39.90","40.55","39.49","39.52","74,682"
05/12/2022,"39.11","40.00","38.61","39.49","124,365"
05/11/2022,"39.59","40.70","38.90","38.99","212,540"
05/10/2022,"40.23","40.97","39.15","39.29","263,363"
05/09/2022,"40.67","40.80","39.50","40.07","171,351"
05/06/2022,"41.33","41.53","40.22","41.30","112,366"
05/05/2022,"42.81","42.95","40.88","41.49","85,554"
05/04/2022,"42.14","43.57","41.58","43.34","139,876"
05/03/2022,"41.98","42.04","41.07","41.57","139,233"
05/02/2022,"43.05","44.05","41.32","42.15","140,140"
04/29/2022,"44.32","44.60","42.37","42.89","193,077"
04/28/2022,"49.63","49.63","44.36","44.87","283,798"
04/27/2022,"48.53","49.11","48.32","48.62","114,406"
04/26/2022,"49.44","50.42","48.31","48.48","80,430"
04/25/2022,"49.05","49.79","48.35","49.73","120,405"
04/22/2022,"52.02","52.07","49.41","49.59","262,606"
04/21/2022,"53.28","53.68","52.02","52.27","57,599"
04/20/2022,"53.44","53.95","52.71","52.99","82,334"
04/19/2022,"52.05","53.63","52.05","53.14","68,742"
04/18/2022,"51.80","52.65","51.62","52.21","53,127"
04/14/2022,"52.29","52.62","51.78","51.88","74,287"
04/13/2022,"51.49","52.21","51.02","52.00","76,689"
04/12/2022,"51.31","52.07","51.28","51.53","61,697"
04/11/2022,"51.46","51.63","50.83","50.88","49,866"
04/08/2022,"51.50","52.47","51.39","51.62","92,772"
04/07/2022,"51.09","52.00","50.85","51.61","68,660"
04/06/2022,"52.50","52.79","50.92","51.11","103,264"
04/05/2022,"52.25","53.17","52.00","52.62","111,949"
04/04/2022,"52.40","52.51","50.84","52.33","108,535"
04/01/2022,"53.28","53.28","51.15","52.49","134,184"
03/31/2022,"53.08","54.10","52.56","53.33","209,305"
03/30/2022,"52.70","53.29","52.38","52.85","283,606"
03/29/2022,"54.73","54.84","52.77","52.92","123,326"
03/28/2022,"55.09","55.20","53.71","54.22","74,596"
03/25/2022,"54.55","54.94","53.76","54.86","83,666"
03/24/2022,"53.37","54.65","52.95","54.59","82,234"
03/23/2022,"55.05","55.05","53.14","53.35","128,464"
03/22/2022,"55.39","55.90","55.02","55.17","74,300"
03/21/2022,"56.16","56.16","55.03","55.25","97,380"
03/18/2022,"54.19","56.28","54.02","56.06","179,189"
03/17/2022,"54.49","54.90","54.05","54.13","100,218"
03/16/2022,"53.99","54.75","53.53","54.65","123,044"
03/15/2022,"52.89","53.91","52.53","53.36","137,360"
03/14/2022,"51.31","52.72","51.16","52.61","175,280"
03/11/2022,"51.85","52.89","51.05","51.16","104,707"
03/10/2022,"49.99","51.84","49.99","51.64","107,160"
03/09/2022,"51.29","52.04","50.20","50.49","191,276"
03/08/2022,"50.56","51.91","50.51","50.68","154,105"
